分類icon,分類,zh-tw,zh-cn,vi-vn,th-th,ko-kr,ja-jp,id-id,pt-pt,pt-br,uk-ua,tr-tr,ru-ru,ro-ro,pl-pl,nl-nl,it-it,hu-hu,he-il,fr-fr,es-es,de-de,cs-cz,KB No.,URL,USB,Note,en-us,zh-tw,zh-cn,vi-vn,th-th,ko-kr,ja-jp,id-id,pt-pt,pt-br,uk-ua,tr-tr,ru-ru,ro-ro,pl-pl,nl-nl,it-it,hu-hu,he-il,fr-fr,es-es,de-de,cs-cz
,Wi-Fi Professional,Wi-Fi 專業設置,Wi-Fi 专业设置,Cài đặt chuyên nghiệp Wi-Fi,การตั้งค่า Wi-Fi แบบมืออาชีพ,Wi-Fi 전문가 설정,Wi-Fi プロフェッショナル設定,Pengaturan profesional Wi-Fi ,Configuração profissional de Wi-Fi,Configuração profissional de Wi-Fi,Професійні налаштування Wi-Fi,Wi-Fi profesyonel ayarı,Профессиональные настройки Wi-Fi,Setări profesionale Wi-Fi,Profesjonalne ustawienia Wi-Fi,Wi-Fi professionele instelling,Impostazione professionale Wi-Fi,Wi-Fi professzionális beállítás,Wi-Fiהגדרה מקצועית של,Paramétrage professionnel du Wi-Fi,Configuración profesional de Wi-F,Wi-Fi-Professionelleinstellung,Profesionální nastavení Wi-Fi,1044821,https://www.asus.com/support/FAQ/1044821,,,[Wireless Router] How to Set up AP Isolated feature?,[無線路由器] 如何設定禁止無線用戶互通功能?,[无线路由器] 如何禁止无线用户互通？,[Wireless] Làm thế nào để thiết lập chức năng AP Isolated ?,[ไร้สายเราเตอร์] วิธีการตั้งค่าฟีเจอร์ AP แยกต่างหาก?,[무선 라우터] AP 격리 기능을 설정하는 방법은?,[ワイヤレスルーター] AP分離機能の設定方法は?,[Wireless Router] Bagaimana Cara Setup Fitur AP Isolated?,[Wireless] Como criar a funcionalidade Isolamento de AP?,[Wireless] Como configurar o recurso AP (ponto de acesso) isolado?,[Бездротовий зв'язок] Як налаштувати функцію AP Isolated?,[Kablosuz Yönlendirici] AP İzole özelliği nasıl ayarlanır?,[Беспроводное устройство] Как настроить изолированную точку доступа?,[Router Wireless] Cum se configurează funcția de izolare AP?,[Router Bezprzewodowy] Jak skonfigurować funkcję izolacji AP?,[Draadloos] Hoe AP-geïsoleerde functie instellen?,[Router Wireless] Come impostare la funzione di Isolamento AP?,[Vezeték nélküli Router] Hogyan állítható be az AP Izolálás funkció?,[נתב אלחוטי] כיצד להגדיר את התכונה 'בידוד AP'?,[Routeur Sans Fil] Comment configurer la fonction d'Isolation AP?,[Wireless] ¿Cómo configurar la función Punto de Acceso (AP) aislado?,[Wireless Router] Wie richte ich die Funktion AP Isoliert ein?,[Bezdrátové] Jak nastavit funkci izolovaného AP?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<svg aria-hidden=""true"" class=""e-font-icon-svg e-fas-user-shield"" viewBox=""0 0 640 512"" xmlns=""http://www.w3.org/2000/svg"" style=""width: 20px; height: 20px;""><path d=""M622.3 271.1l-115.2-45c-4.1-1.6-12.6-3.7-22.2 0l-115.2 45c-10.7 4.2-17.7 14-17.7 24.9 0 111.6 68.7 188.8 132.9 213.9 9.6 3.7 18 1.6 22.2 0C558.4 489.9 640 420.5 640 296c0-10.9-7-20.7-17.7-24.9zM496 462.4V273.3l95.5 37.3c-5.6 87.1-60.9 135.4-95.5 151.8zM224 256c70.7 0 128-57.3 128-128S294.7 0 224 0 96 57.3 96 128s57.3 128 128 128zm96 40c0-2.5.8-4.8 1.1-7.2-2.5-.1-4.9-.8-7.5-.8h-16.7c-22.2 10.2-46.9 16-72.9 16s-50.6-5.8-72.9-16h-16.7C60.2 288 0 348.2 0 422.4V464c0 26.5 21.5 48 48 48h352c6.8 0 13.3-1.5 19.2-4-54-42.9-99.2-116.7-99.2-212z""></path></svg>",Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1053612, https://www.asus.com/support/FAQ/1053612/,,,[Wireless Router] Triple-Level Protection for Comprehensive Network Security,[無線路由器] 三層保護以全面保障網路安全,[无线路由器] 三层级保护以全面保障网络安全,[Bộ định tuyến không dây] Bảo vệ Ba Tầng cho Bảo mật Mạng Toàn diện,[เราเตอร์ไร้สาย] การป้องกันสามระดับสำหรับความปลอดภัยเครือข่ายที่ครอบคลุม,[무선 라우터] 종합적인 네트워크 보안을 위한 3단계 보호,[無線ルーター] 包括的なネットワークセキュリティのための三重保護,[Router Nirkabel] Perlindungan Tiga Tingkat untuk Keamanan Jaringan Komprehensif,[Router Sem Fios] Proteção de Três Níveis para Segurança Abrangente da Rede,[Roteador Sem Fio] Proteção de Três Níveis para Segurança Completa da Rede,[Бездротовий маршрутизатор] Триступенева захист для комплексної безпеки мережі,[Kablosuz Yönlendirici] Kapsamlı Ağ Güvenliği için Üç Düzeyli Koruma,[Беспроводной маршрутизатор] Трехуровневая защита для всесторонней сетевой безопасности,[Router Fără Fir] Protecție de Trei Niveluri pentru Securitate Completă a Rețelei,[Router bezprzewodowy] Trójpoziomowa ochrona dla kompleksowego bezpieczeństwa sieci,[Draadloze Router] Drielaagse Bescherming voor Alomvattende Netwerkbeveiliging,[Router Wireless] Protezione a Tre Livelli per Sicurezza di Rete Completa,[Vezeték nélküli router] Háromszintű védelem az átfogó hálózati biztonságért,[נתב אלחוטי] הגנה בת שלוש רמות לאבטחת רשת מקיפה,[Routeur sans fil] Protection à trois niveaux pour une sécurité réseau complète,[Router Inalámbrico] Protección de Tres Niveles para una Seguridad Integral de la Red,[WLAN-Router] Dreistufiger Schutz für umfassende Netzwerksicherheit,[Bezdrátový router] Tříúrovňová ochrana pro komplexní zabezpečení sítě
,Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1039292,https://www.asus.com/support/FAQ/1039292/,,,[Wireless] How to make my router more secure? ,[無線] 如何讓我的路由器更安全？,[无线] 如何让我的路由器更安全？,[Không dây] Làm thế nào để làm cho router của tôi an toàn hơn?,[ไร้สาย] จะทำให้เราเตอร์ของฉันปลอดภัยมากขึ้นได้อย่างไร?,[무선] 내 라우터를 더 안전하게 만드는 방법?,[無線] ルーターをより安全にする方法は？,[Nirkabel] Bagaimana cara membuat router saya lebih aman?,[Sem fio] Como tornar meu roteador mais seguro?,[Sem fio] Como tornar meu roteador mais seguro?,[Бездротовий] Як зробити мій маршрутизатор більш безпечним?,[Kablosuz] Yönlendiricimi nasıl daha güvenli hale getirebilirim?,[Беспроводной] Как сделать мой роутер более безопасным?,[Fără fir] Cum să fac routerul meu mai sigur?,"[Bezprzewodowy] Jak sprawić, by mój router był bardziej bezpieczny?",[Draadloos] Hoe maak ik mijn router veiliger?,[Wireless] Come rendere il mio router più sicuro?,[Vezeték nélküli] Hogyan tehetem biztonságosabbá az útválasztómat?,[אלחוטי] איך להפוך את הראוטר שלי לבטוח יותר?,[Sans fil] Comment rendre mon routeur plus sécurisé?,[Inalámbrico] ¿Cómo hacer mi router más seguro?,[Drahtlos] Wie mache ich meinen Router sicherer?,[Bezdrátový] Jak zabezpečit můj router?
,Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1047946,https://www.asus.com/support/FAQ/1047946/,,,[Wireless Router] Ways to achieve Network security | Official Support | ASUS Global ,[無線路由器] 達到網絡安全的方法,[无线路由器] 实现网络安全的方法,[Router không dây] Cách đạt được bảo mật mạng,[เราเตอร์ไร้สาย] วิธีการบรรลุความปลอดภัยของเครือข่าย,[무선 라우터] 네트워크 보안을 달성하는 방법,[無線ルーター] ネットワークセキュリティを達成する方法,[Router nirkabel] Cara mencapai keamanan jaringan,[Roteador sem fio] Formas de alcançar a segurança da rede,[Roteador sem fio] Formas de alcançar a segurança da rede,[Бездротовий маршрутизатор] Способи досягнення мережевої безпеки,[Kablosuz Yönlendirici] Ağ güvenliğini sağlama yolları,[Беспроводной маршрутизатор] Способы достижения сетевой безопасности,[Router Fără Fir] Moduri de a obține securitatea rețelei,[Router bezprzewodowy] Sposoby na osiągnięcie bezpieczeństwa sieci,[Draadloze Router] Manieren om netwerken te beveiligen,[Router Wireless] Modi per raggiungere la sicurezza della rete,[Vezeték nélküli router] A hálózati biztonság elérésének módjai,[נתב אלחוטי] דרכים להשיג אבטחת רשת,[Routeur Sans Fil] Moyens d'atteindre la sécurité du réseau,[Router Inalámbrico] Maneras de lograr la seguridad de la red,[WLAN-Router] Möglichkeiten zur Erreichung der Netzwerksicherheit,"[Bezdrátový router] Způsoby, jak dosáhnout zabezpečení sítě"
,Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1008719,https://www.asus.com/support/FAQ/1008719,,,[AiProtection] How to set Network Protection (AiProtection)?,[無線路由器] AiProtection智慧安全防護介紹與設定,[无线路由器] AiProtection智能网络卫士介绍与设置,[AiProtection] Làm cách nào để thiết lập Bảo vệ mạng trong Bộ định tuyến ASUS?,[AiProtection] วิธีตั้งค่าการป้องกันเครือข่ายใน ASUS Router ?,[AiProtection] ASUS 라우터에서 네트워크 보호를 설정하는 방법은 무엇입니까?,[WiFiルーター][AiProtection] ルーターのネットワーク保護機能を設定する方法,[AiProtection] Bagaimana cara mengatur Perlindungan Jaringan di ASUS Router?,[AiProtection] Como configurar a proteção de rede?,[AiProtection] Como definir a proteção de rede no roteador ASUS?,[AiProtection] Як налаштувати мережевий захист у маршрутизаторі ASUS?,[AiProtection] ASUS Yönlendiricide Ağ Koruması nasıl ayarlanır?,[AiProtection] Как настроить Сетевую Защиту (AiProtection)?,[AiProtection] Cum se setează protecția rețelei pe routerul ASUS?,[AiProtection] Jak ustawić zabezpieczenie sieci w routerze ASUS?,[AiProtection] Hoe stel in Netwerkbeveiliging in?,[AiProtection] Come impostare Network Protection nel Router ASUS ?,[AiProtection] Hogyan állítható be a Hálózatvédelem ASUS routerben?,[AiProtection] כיצד להגדיר הגנת רשת בנתב ASUS?,[AiProtection] Comment configurer la protection réseau dans le routeur ASUS ?,[AiProtection] ¿Cómo configurar la Protección de Red (AiProtection)?,[AiProtection] Wie wird der Netzwerkschutz eingestellt?,[AiProtection] Jak nastavit síťovou ochranu v routeru ASUS?
,Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1012070,https://www.asus.com/support/FAQ/1012070,,,[AiProtection] How does AiProtection protect my home network?,[AiProtection] AiProtection如何保護我的家庭網絡？,[AiProtection] AiProtection如何保护我的家庭网络？,[AiProtection] Làm thế nào để AiProtection bảo vệ mạng gia đình của tôi?,[AiProtection] วิธีการใช้ AiProtection ปกป้องเครือข่ายภายในบ้าน,[AiProtection] AiProtection이 내 가정 네트워크를 어떻게 보호하나요?,[AiProtection] AiProtectionはどのようにして私の家庭ネットワークを保護しますか？,[AiProtection] Bagaimana AiProtection melindungi jaringan rumah saya?,Como é que AiProtection protege a minha rede doméstica?,[AiProtection] Como o AiProtection protege minha rede doméstica?,Як AiProtection захищає мою домашню мережу?,AiProtection Ev Ağı Bağlantımı nasıl korur?,Как AiProtection защищает мою домашнюю сеть?,[AiProtection] Îmi protejează AiProtection rețeaua de acasă?,[AiProtection] W jaki sposób AiProtection chroni moją sieć domową?,Hoe kan AiProtection mijn thuisnetwerk beschermen?,Come fa AiProtection a proteggere la mia rete domestica?,[AiProtection] Hogyan védi az AiProtection az otthoni hálózatom?,[הגנה אווירית] איך הגנה אווירית מגן על הרשת הביתית שלי?,Comment l'application AiProtection peut protéger mon réseau domestique?,[AiProtection] ¿Cómo AiProtection protege mi red domestica ?,[AiProtection] Wie schützt AiProtection mein Heimnetzwerk?,[AiProtection]  Jak chrání AiProtection mou domácí síť?
,Security,安全,安全,Bảo mật,ความปลอดภัย,보안,セキュリティ,Keamanan,Segurança,Segurança,Безпека,Güvenlik,Безопасность,Securitate,Bezpieczeństwo,Beveiliging,Sicurezza,Biztonság,אבטחה,Sécurité,Seguridad,Sicherheit,Bezpečnost,1035138,https://www.asus.com/support/FAQ/1035138,,,[Wireless Router] Will AiProtection and adaptive QoS work by applying AiMesh?,[AiMesh] 使用 AiMesh 網路後，是否還可以使用 AiProtection 和頻寬管理（QoS）功能？,[AiMesh] 使用 AiMesh 网络后，是否还可以使用 AiProtection 和带宽管理（QoS）功能？,[AiMesh] Liệu AiProtection và  adaptive QoS có thể hoạt động bằng cách thực hiện AiMesh?,[AiMesh] AiProtection และ adaptive QoS จะทำงานหรือไม่หากแอพลายด์ AiMesh,[AiMesh] AiMesh를 사용하면 AiProtection 및 적응형 QoS가 작동합니까?,[AiMesh] AiMeshを使用した場合AiProtectionやアダプティブQoSを使用することはできますか？,[AiMesh] Akankah AiProtection dan QoS Adaptif Bekerja dengan Menerapkan AiMesh?,[AiMesh] AiProtection e QoS funcionam quando aplicadas o AiMesh?,[AiMesh] O AiProtection e o QoS adaptável funcionam aplicando o AiMesh?,[AiMesh] Чи буде AiProtection та QoS працювати відносно AiMesh?,"[AiMesh] AiProtection ve adaptive QoS, AiMesh ile çalışıyor mu?",[AiMesh] Будет ли AiProtection и QoS работать относительно AiMesh?,[AiMesh] Va funcționa AiProtection și adaptive QoS folosind AiMesh?,[AiMesh] Czy AiProtection oraz Adaptacyjny QoS będą działać w przypadku AiMesh?,[AiMesh] Zullen AiProtection en adaptieve QoS werken door AiMesh toe te passen?,[AiMesh] AiProtection e adaptive QoS funzionano applicando AiMesh?,[AiMesh] Működik az AiProtection és az adaptív szolgáltatásminőség az AiMesh alkalmazásával?,[AiMesh] האם AiProtection ו-QoS ניתנת להתאמה עובדים על ידי החלת AiMesh?,[AiMesh] AiProtection et QoS adaptative fonctionneront-ils en appliquant AiMesh?,[AiMesh] ¿Funciona la AiProtection y la QoS adaptativa al aplicar AiMesh?,[AiMesh] Unterstützt AiMesh AiProtection und Adaptive QoS?,"[AiMesh] Budou AiProtection a adaptive QoS fungovat, když použiju AiMesh?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<svg aria-hidden=""true"" class=""e-font-icon-svg e-fas-user-friends"" viewBox=""0 0 640 512"" xmlns=""http://www.w3.org/2000/svg"" style=""width: 20px; height: 20px;""><path d=""M192 256c61.9 0 112-50.1 112-112S253.9 32 192 32 80 82.1 80 144s50.1 112 112 112zm76.8 32h-8.3c-20.8 10-43.9 16-68.5 16s-47.6-6-68.5-16h-8.3C51.6 288 0 339.6 0 403.2V432c0 26.5 21.5 48 48 48h288c26.5 0 48-21.5 48-48v-28.8c0-63.6-51.6-115.2-115.2-115.2zM480 256c53 0 96-43 96-96s-43-96-96-96-96 43-96 96 43 96 96 96zm48 32h-3.8c-13.9 4.8-28.6 8-44.2 8s-30.3-3.2-44.2-8H432c-20.4 0-39.2 5.9-55.7 15.4 24.4 26.3 39.7 61.2 39.7 99.8v38.4c0 2.2-.5 4.3-.6 6.4H592c26.5 0 48-21.5 48-48 0-61.9-50.1-112-112-112z""></path></svg>",Smart Home master,Smart home master,智能家居大师,Chủ nhà thông minh,สมาร์ทโฮมมาสเตอร์,스마트 홈 마스터,スマートホームマスター,Master Rumah Pintar,Mestre de Casa Inteligente,Mestre de Casa Inteligente,Майстер розумного дому,Akıllı Ev ustası,Мастер Умного Дома,Maestru Casă Inteligentă,Mistrz Inteligentnego Domu,Slimme Thuismeester,Maestro Casa Intelligente,Okos Otthon mester,מאסטר הבית החכם,Maître de Maison Intelligente,Maestro de Casa Inteligente,Smart Home Meister,Mistr Chytré Domácnosti,1053664,https://www.asus.com/support/FAQ/1053664,,,How to set up Kid’s Network?,如何設置兒童網絡？,如何设置儿童网络？,Cách thiết lập Mạng Trẻ Em?,วิธีตั้งค่าเครือข่ายสำหรับเด็ก?,아동 네트워크를 설정하는 방법?,子供のネットワークを設定する方法は？,Cara mengatur Jaringan Anak?,Como configurar a Rede das Crianças?,Como configurar a Rede das Crianças?,Як налаштувати Дитячу мережу?,Çocuk Ağı nasıl kurulur?,Как настроить Детскую сеть?,Cum să configurezi Rețeaua pentru Copii?,Jak skonfigurować Sieć dla Dzieci?,Hoe stel ik het Kinder Netwerk in?,Come impostare la Rete per Bambini?,Hogyan állítsuk be a Gyerekek Hálózatát?,איך להגדיר רשת לילדים?,Comment configurer le Réseau pour Enfants?,¿Cómo configurar la Red para Niños?,Wie richte ich das Kinder-Netzwerk ein?,Jak nastavit Dětskou síť?
,Smart Home master,Smart home master,智能家居大师,Chủ nhà thông minh,สมาร์ทโฮมมาสเตอร์,스마트 홈 마스터,スマートホームマスター,Master Rumah Pintar,Mestre de Casa Inteligente,Mestre de Casa Inteligente,Майстер розумного дому,Akıllı Ev ustası,Мастер Умного Дома,Maestru Casă Inteligentă,Mistrz Inteligentnego Domu,Slimme Thuismeester,Maestro Casa Intelligente,Okos Otthon mester,מאסטר הבית החכם,Maître de Maison Intelligente,Maestro de Casa Inteligente,Smart Home Meister,Mistr Chytré Domácnosti,1053665,https://www.asus.com/support/FAQ/1053665,,,How to set up IoT Network?,如何設置物聯網網絡？,如何设置物联网网络？,Cách thiết lập Mạng IoT?,วิธีตั้งค่าเครือข่าย IoT?,IoT 네트워크를 설정하는 방법?,IoT ネットワークを設定する方法は？,Cara mengatur Jaringan IoT?,Como configurar a Rede IoT?,Como configurar a Rede IoT?,Як налаштувати IoT мережу?,IoT Ağı nasıl kurulur?,Как настроить сеть IoT?,Cum să configurezi Rețeaua IoT?,Jak skonfigurować Sieć IoT?,Hoe stel ik het IoT Netwerk in?,Come impostare la Rete IoT?,Hogyan állítsuk be az IoT Hálózatot?,איך להגדיר רשת IoT?,Comment configurer le Réseau IoT?,¿Cómo configurar la Red IoT?,Wie richte ich das IoT-Netzwerk ein?,Jak nastavit IoT síť?
,Smart Home master,Smart home master,智能家居大师,Chủ nhà thông minh,สมาร์ทโฮมมาสเตอร์,스마트 홈 마스터,スマートホームマスター,Master Rumah Pintar,Mestre de Casa Inteligente,Mestre de Casa Inteligente,Майстер розумного дому,Akıllı Ev ustası,Мастер Умного Дома,Maestru Casă Inteligentă,Mistrz Inteligentnego Domu,Slimme Thuismeester,Maestro Casa Intelligente,Okos Otthon mester,מאסטר הבית החכם,Maître de Maison Intelligente,Maestro de Casa Inteligente,Smart Home Meister,Mistr Chytré Domácnosti,1053666,https://www.asus.com/support/FAQ/1053666,,,How to set up VPN Network?,如何設置 VPN 網絡？,如何设置 VPN 网络？,Làm thế nào để thiết lập Mạng VPN?,วิธีการตั้งค่าเครือข่าย VPN?,VPN 네트워크를 설정하는 방법?,VPN ネットワークを設定する方法は？,Bagaimana cara mengatur Jaringan VPN?,Como configurar a Rede VPN?,Como configurar a Rede VPN?,Як налаштувати VPN мережу?,VPN Ağı nasıl kurulur?,Как настроить VPN сеть?,Cum să configurezi rețeaua VPN?,Jak skonfigurować sieć VPN?,Hoe stel ik een VPN-netwerk in?,Come configurare la rete VPN?,Hogyan állítsuk be a VPN hálózatot?,איך להגדיר רשת VPN?,Comment configurer un réseau VPN?,¿Cómo configurar una red VPN?,Wie richte ich ein VPN-Netzwerk ein?,Jak nastavit VPN síť?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<svg aria-hidden=""true"" class=""e-font-icon-svg e-fas-user-friends"" viewBox=""0 0 640 512"" xmlns=""http://www.w3.org/2000/svg"" style=""width: 20px; height: 20px;""><path d=""M192 256c61.9 0 112-50.1 112-112S253.9 32 192 32 80 82.1 80 144s50.1 112 112 112zm76.8 32h-8.3c-20.8 10-43.9 16-68.5 16s-47.6-6-68.5-16h-8.3C51.6 288 0 339.6 0 403.2V432c0 26.5 21.5 48 48 48h288c26.5 0 48-21.5 48-48v-28.8c0-63.6-51.6-115.2-115.2-115.2zM480 256c53 0 96-43 96-96s-43-96-96-96-96 43-96 96 43 96 96 96zm48 32h-3.8c-13.9 4.8-28.6 8-44.2 8s-30.3-3.2-44.2-8H432c-20.4 0-39.2 5.9-55.7 15.4 24.4 26.3 39.7 61.2 39.7 99.8v38.4c0 2.2-.5 4.3-.6 6.4H592c26.5 0 48-21.5 48-48 0-61.9-50.1-112-112-112z""></path></svg>",Guest network,訪客網路,访客网络,Mạng khách,เครือข่ายสำหรับแขก,게스트 네트워크,ゲストネットワーク,Jaringan tamu,Rede de convidados,Rede de convidados,Мережа для гостей,Misafir ağı,Сеть для гостей,Rețeaua oaspeților,Sieć dla gości,Gastnetwerk,Rete ospiti,Vendéghálózat,רשת אורחים,Réseau invité,Red de invitados,Gästenetzwerk,Síť pro hosty,1042732,https://www.asus.com/support/FAQ/1042732,,,[Wireless Router] How to set up Guest Network?,[無線路由器] 如何設定訪客網路(WebGUI/App),[无线路由器] 如何设置访客模式?,[Wireless Router] Cách thiết lập Mạng khách (WebGUI/Ứng dụng),[Wireless Router] วิธีการตั้งค่า เครือข่ายผู้มาเยือน (WebGUI/App),[무선 라우터] 게스트 네트워크 설정 방법 (WebGUI/App),[WiFiルーター] ゲストネットワークの設定方法,[Wireless Router] Cara set up Jaringan Guest (WebGUI/App),[Wireless] Como configurar uma rede de convidados (WebGUI/App),[Wireless]  Como configurar uma rede de convidados?,[Бездротовий маршрутизатор] Як налаштувати гостьову мережу (WebGUI/App),[Kablosuz Yönlendirici] Misafir Ağı nasıl kurulur (Web GUI/Uygulama)?,[Беспроводное устройство] Как настроить гостевую сеть (WebGUI/App)?,[Router fara fir] Cum se configurează o rețea pentru oaspeți (WebGUI/App),[Łączność bezprzewodowa] Jak skonfigurować sieć gościnną (sieciowy interfejs graficzny/aplikacja)?,[Draadloze router] Gastnetwerk instellen (WebGUI/App),[Router Wireless] Come configurare la rete ospite (WebGUI/App),[Wireless] Hogyan állítható be a Vendéghálózat?,[נתב אלחוטי] כיצד להגדיר רשת אורחים (ממשק משתמש אינטרנטי/אפליקציה),[Routeur sans fil] Comment configurer le réseau invité/Guest Network (WebGUI/App),[Router inalámbrico] Cómo configurar una red de invitados (WebGUI/App),[Wireless Router] Wie richte ich ein Gastnetzwerk ein (WebGUI/App)?,[Bezdrátová síť] Jak nastavit síť pro hosty (ve webovém uživatelském rozhraní / aplikaci)
,Guest network,訪客網路,访客网络,Mạng khách,เครือข่ายสำหรับแขก,게스트 네트워크,ゲストネットワーク,Jaringan tamu,Rede de convidados,Rede de convidados,Мережа для гостей,Misafir ağı,Сеть для гостей,Rețeaua oaspeților,Sieć dla gości,Gastnetwerk,Rete ospiti,Vendéghálózat,רשת אורחים,Réseau invité,Red de invitados,Gästenetzwerk,Síť pro hosty,1045327,https://www.asus.com/support/FAQ/1045327,,,[Wireless Router] How to set up Guest Network features to Sync to AiMesh node?,[無線路由器] 如何設定訪客網路功能同步到AiMesh節點？,[无线路由器] 如何设定访客网络功能同步到AiMesh节点？,[Wireless Router] Làm cách nào để thiết lập các tính năng của Mạng khách để Đồng bộ hóa với AiMesh Node?,[Wireless Router] วิธีตั้งค่าคุณสมบัติ Guest Network เพื่อซิงค์กับ AiMesh Node,[무선 라우터] 게스트 네트워크 기능을 설정하여 AiMesh 노드에 동기화하는 방법,[Wireless Router] AiMeshノードでゲストネットワークを有効にする方法,[Router Nirkabel] Bagaimana cara mengatur fitur Guest Network untuk Menyinkronkan ke AiMesh Node?,[Router Wireless] Como criar funcionalidades da Rede de Convidados para Sincronizar com o Nó AiMesh?,[Wireless Router] Como configurar os recursos da rede de convidados para sincronizar com o nó AiMesh?,[Бездротовий пристрій] Як налаштувати функції гостьової мережі для синхронізації з вузлом AiMesh?,[Kablosuz Yönlendirici] Misafir Ağı özellikleri AiMesh Noduyla nasıl eşitlenir?,[Беспроводное устройство] Как настроить функции гостевой сети для синхронизации с узлом AiMesh?,[Router wireless] Cum se configurează caracteristicile rețelei de oaspeți pentru a le sincroniza cu nodul AiMesh?,"[Router bezprzewodowy] Jak skonfigurować funkcje sieci gościnnej, aby synchronizować ją z węzłem AiMesh?",[Draadloze router] Hoe stel ik gastnetwerkfuncties in om te synchroniseren met AiMesh Node?,[Router Wireless] Come configurare le funzionalità della Rete Ospite per la Sincronizzazione con il Nodo AiMesh?,[Vezeték nélküli router] Hogyan kell beállítani a vendég hálózat funkcióit az AiMesh csomóponttal történő szinkronizáláshoz?,[נתב אלחוטי] איך להגדיר תכונות של רשת אורחים כדי להסתנכרן עם צומת AiMesh?,[Routeur sans fil] Comment configurer les fonctionnalités du réseau invité pour la synchronisation avec le nœud AiMesh ?,[Wireless Router] Cómo configurar las funciones de la red de invitados para sincronizar con AiMesh?,Die Funktion Gastnetzwerk zur Synchronisierung mit AiMesh Knoten einrichten,[Bezdrátový router] Jak nastavit funkce sítě pro hosty na synchronizaci s uzlem AiMesh?
